Significance Analysis of Microarrays by gene																			
Gene Name	Differentiated			Immunoreactive			Mesenchymal			Proliferative			Chromosome name	Band	Description				
BZW1	-5,1158	0,7498	0	0,7219	1,041	20,4598	1,8015	1,1	3,2152	1,9595	1,1046	1,4298	2	q33.1	"basic leucine zipper and W2 domains 1  [Source:RefSeq_peptide;Acc:NP_055485]"				
BZW2	1,0281	1,0653	13,9168	-1,501	0,9155	6,6672	-1,9685	0,8956	1,3817	2,367	1,1352	0,2958	7	p21.1	"Basic leucine zipper and W2 domain-containing protein 2. [Source:Uniprot/SWISSPROT;Acc:Q9Y6E2]"				
C10ORF10	2,3815	1,181	1,216	2,2665	1,1636	0,7301	3,7801	1,2692	0	-8,3863	0,6222	0	0	0	0				
C10ORF116	6,421	2,0048	0	0,4024	1,0448	27,6634	0,6448	1,0693	17,6043	-6,6916	0,5312	0	0	0	0				
C10ORF118	2,8084	1,1583	0,3398	-3,0576	0,8583	0,1301	1,7077	1,0855	6,1022	-1,3024	0,9415	6,6307	0	0	0				
C10ORF119	-1,2489	0,9411	6,6377	-1,6721	0,9254	4,2891	-0,4671	0,9794	21,5379	3,1071	1,1395	0,0325	0	0	0				
C10ORF12	-3,7429	0,8179	0	1,0331	1,0554	13,0283	0,0679	1,0034	21,5379	2,2227	1,1116	0,6935	0	0	0				
C10ORF137	-1,9289	0,9099	1,216	-2,0291	0,9094	2,5859	-1,258	0,9452	6,1022	4,8895	1,2263	0	0	0	0				
C10ORF18	-2,4162	0,8874	0,3398	1,4565	1,0716	6,6672	-0,6166	0,9723	21,5379	1,3639	1,0611	4,3519	0	0	0				
C10ORF22	-1,245	0,9382	6,6377	-2,5749	0,8823	0,7301	1,5147	1,0732	6,1022	1,9894	1,0929	1,4298	0	0	0				
C10ORF26	-2,9379	0,872	0,066	-1,3699	0,9402	9,5943	5,7138	1,2652	0	-1,4508	0,942	4,3519	0	0	0				
C10ORF28	-1,8833	0,9152	2,0642	1,0519	1,0486	13,0283	-0,1727	0,9925	21,5379	0,8462	1,0356	12,1755	0	0	0				
C10ORF38	0,3035	1,0172	29,8206	-2,9333	0,855	0,1301	-1,8852	0,9078	1,3817	4,2942	1,2303	0	0	0	0				
C10ORF56	-4,8271	0,7306	0	-2,8939	0,8324	0,3348	14,0351	1,9992	0	-4,2359	0,7843	0	0	0	0				
C10ORF57	-0,2934	0,9833	26,2979	0,7022	1,039	20,4598	-1,739	0,9137	1,3817	1,2776	1,0658	4,3519	0	0	0				
C10ORF59	1,0771	1,0671	11,2803	0,6174	1,0362	24,1232	-1,15	0,9386	6,1022	-0,407	0,9786	22,8783	0	0	0				
C10ORF6	-2,914	0,873	0,066	-0,0117	0,9994	38,7936	1,5259	1,0676	6,1022	1,0776	1,0454	6,6307	0	0	0				
C10ORF68	-0,6269	0,9679	19,2003	-2,2528	0,8946	1,4462	-0,7489	0,965	9,6877	3,3682	1,1631	0,0073	0	0	0				
C10ORF76	0,0243	1,0008	33,3668	1,0289	1,0353	13,0283	1,5184	1,0499	6,1022	-2,4343	0,928	0,2958	0	0	0				
C10ORF79	1,2826	1,1094	8,9075	-2,4295	0,8292	0,7301	-3,8143	0,7577	0	4,8184	1,3946	0	0	0	0				
C10ORF84	-0,9464	0,9526	11,2803	-1,6792	0,9211	4,2891	-0,0546	0,9974	21,5379	2,433	1,1146	0,2958	0	0	0				
C10ORF88	-3,9775	0,8339	0	-1,0497	0,9542	16,7477	0,7612	1,0329	16,0569	3,7112	1,1605	0	0	0	0				
C10ORF92	2,8198	1,0542	0,3398	-2,3679	0,9582	1,4462	-0,4152	0,9928	21,5379	0,1098	1,0018	26,223	0	0	0				
C10ORF95	3,231	1,2479	0,066	0,5514	1,0373	24,1232	-3,9173	0,7838	0	0,3843	1,0236	21,0108	0	0	0				
C10ORF97	-4,5294	0,7918	0	0,9755	1,0506	13,0283	1,5499	1,0775	6,1022	1,4913	1,0714	4,3519	0	0	0				
C11ORF10	-0,763	0,9677	16,6018	0,2209	1,0091	33,3649	-1,4886	0,9434	3,2152	1,898	1,0737	1,4298	0	0	0				
C11ORF16	4,0576	1,3364	0	-1,0268	0,9308	16,7477	-3,8355	0,7781	0	1,0693	1,0706	6,6307	0	0	0				
C11ORF17	-3,243	0,8654	0	3,0894	1,1409	0,0467	5,0795	1,2242	0	-4,8477	0,8303	0	0	0	0				
C11ORF2	5,0997	1,2869	0	-2,2732	0,8953	1,4462	-2,0506	0,909	1,3817	-0,2922	0,9869	23,8828	0	0	0				
C11ORF21	-0,1098	0,9965	32,0584	0,0957	1,0028	37,3139	-2,5625	0,9295	0,4599	2,4627	1,0697	0,2958	0	0	0				
C11ORF24	0,276	1,0129	29,8206	-1,8279	0,9221	4,2891	5,4865	1,251	0	-3,6938	0,8624	0	0	0	0				
C11ORF30	-1,5409	0,9209	3,2175	-0,7618	0,9617	20,4598	-1,7227	0,9194	1,3817	3,7598	1,1891	0	0	0	0				
C11ORF41	-4,2412	0,7609	0	-1,9763	0,8833	2,5859	6,4777	1,4472	0	-0,4568	0,9739	22,8783	0	0	0				
C11ORF48	0,7063	1,0341	19,2003	1,6292	1,0765	4,2891	-1,4274	0,9401	3,2152	-0,7416	0,9696	15,204	0	0	0				
C11ORF49	-0,8784	0,9607	13,9168	-1,3885	0,9413	9,5943	-3,5511	0,8648	0,0249	5,6191	1,2398	0	0	0	0				
C11ORF51	2,2361	1,1251	1,216	1,2254	1,064	9,5943	-2,113	0,9032	0,4599	-1,0545	0,9521	9,2746	0	0	0				
C11ORF57	1,3775	1,073	8,9075	-1,1	0,9475	13,0283	-2,1155	0,9062	0,4599	1,8266	1,0852	1,4298	0	0	0				
C11ORF58	-3,7297	0,8211	0	1,0294	1,0543	13,0283	0,6887	1,0343	17,6043	1,611	1,0786	2,6217	0	0	0				
C11ORF60	-0,4603	0,9714	24,09	-1,6864	0,9036	4,2891	-1,9705	0,8933	1,3817	3,9001	1,2349	0	0	0	0				
C11ORF61	-1,3044	0,9374	6,6377	-3,1755	0,8619	0,1301	-0,6303	0,9718	21,5379	4,7576	1,2219	0	0	0	0				
C11ORF63	2,6557	1,1694	0,3398	-1,417	0,9227	9,5943	0,8391	1,0465	16,0569	-1,8223	0,9097	2,6217	0	0	0				
C11ORF67	1,0613	1,0718	13,9168	1,5982	1,1048	4,2891	-3,187	0,8286	0,0249	0,6276	1,0366	15,204	0	0	0				
C11ORF68	2,5832	1,1058	0,6697	-2,2282	0,9201	1,4462	-0,0926	0,9966	21,5379	-0,126	0,9956	26,1394	0	0	0				
C11ORF71	1,5382	1,1056	6,6377	1,4992	1,0981	4,2891	-2,4312	0,8657	0,4599	-0,4001	0,9773	22,8783	0	0	0				
C11ORF73	-2,0428	0,8798	1,216	1,6394	1,1035	4,2891	0,1053	1,006	21,5379	0,1823	1,0101	26,223	0	0	0				
C11ORF75	-3,0466	0,8013	0,0315	2,9646	1,2291	0,0467	5,2451	1,405	0	-5,0679	0,7289	0	0	0	0				
C11ORF80	2,5091	1,1332	0,6697	2,5589	1,1296	0,3348	1,518	1,0718	6,1022	-6,2729	0,7693	0	0	0	0				
C11ORF9	-1,7753	0,8792	2,0642	-4,0732	0,7576	0	2,4841	1,1778	0,4599	2,869	1,1984	0,1052	0	0	0				
C12ORF10	1,6587	1,0874	4,8218	-1,3918	0,9348	9,5943	-4,4428	0,8185	0	4,0614	1,1929	0	0	0	0				
C12ORF11	-1,5492	0,9048	3,2175	-0,2296	0,9858	35,6069	-0,4767	0,9722	21,5379	2,0318	1,1214	0,6935	0	0	0				
C12ORF24	-1,1257	0,9302	8,9075	-0,4259	0,9741	30,6701	-2,2206	0,8784	0,4599	3,5492	1,2174	0	0	0	0				
C12ORF29	-1,4258	0,9254	4,8218	1,2179	1,0654	9,5943	-2,5165	0,8832	0,4599	2,5469	1,1281	0,2958	0	0	0				
C12ORF35	0,8837	1,0654	16,6018	-0,3362	0,9771	33,3649	-2,5182	0,8489	0,4599	1,9388	1,1291	1,4298	0	0	0				
C12ORF4	-5,1481	0,7407	0	2,4991	1,1538	0,3348	1,0929	1,0619	13,23	1,041	1,0565	9,2746	0	0	0				
C12ORF41	-3,8449	0,8098	0	2,2215	1,1253	0,7301	-2,7547	0,87	0,1264	3,979	1,2103	0	0	0	0				
C12ORF43	-2,0738	0,8984	1,216	0,0338	1,0016	38,7936	-1,0305	0,9524	6,1022	2,7918	1,1338	0,1052	0	0	0				
C12ORF44	-1,3298	0,9417	6,6377	1,6758	1,0749	4,2891	-1,6666	0,9337	3,2152	1,2271	1,0497	6,6307	0	0	0				
C12ORF48	-5,244	0,7282	0	3,2644	1,2128	0,0187	-0,9015	0,9497	9,6877	2,3653	1,1376	0,2958	0	0	0				
C12ORF49	-5,1051	0,7686	0	0,7871	1,0409	16,7477	0,908	1,0451	14,6237	2,7584	1,1361	0,1052	0	0	0				
C12ORF5	-4,6865	0,7135	0	0,0983	1,0069	37,3139	0,8917	1,062	14,6237	3,0852	1,2186	0,0325	0	0	0				
C12ORF52	-0,2754	0,9866	28,1676	1,4516	1,07	6,6672	-2,9338	0,8787	0,1264	1,7016	1,0752	2,6217	0	0	0				
C13ORF1	-0,3414	0,9829	26,2979	-1,3763	0,936	9,5943	2,9235	1,1419	0,1264	-1,2158	0,9478	9,2746	0	0	0				
C13ORF15	0,0326	1,0026	33,3668	0,3821	1,0304	30,6701	7,4066	1,6802	0	-7,5236	0,6035	0	0	0	0				
C13ORF18	-2,6503	0,8625	0,1677	0,1653	1,0089	35,6069	7,6322	1,4393	0	-4,7888	0,7951	0	0	0	0				
C13ORF23	-2,4204	0,8828	0,3398	0,0058	1,0002	38,7936	0,9134	1,0441	14,6237	1,2261	1,0572	6,6307	0	0	0				
C13ORF24	-0,5673	0,9666	19,2003	-1,9808	0,8935	2,5859	0,4887	1,0269	18,9683	1,8421	1,1007	1,4298	0	0	0				
C13ORF27	-3,7223	0,7839	0	1,1696	1,0772	9,5943	-0,7406	0,9559	13,23	2,8738	1,1804	0,1052	0	0	0				
C13ORF34	-2,8888	0,8397	0,066	0,9138	1,0548	16,7477	-2,0444	0,8927	1,3817	3,6821	1,2137	0	0	0	0				
C13ORF7	-3,1638	0,8401	0,0315	-2,5158	0,8753	0,7301	-0,4846	0,9756	21,5379	5,727	1,3075	0	0	0	0				
C14ORF1	-1,2078	0,947	8,9075	-0,7719	0,9672	20,4598	-1,45	0,9421	3,2152	3,1941	1,1326	0,0325	0	0	0				
C14ORF101	-0,9968	0,9459	11,2803	-2,4047	0,8804	0,7301	-0,9876	0,951	9,6877	4,0953	1,2162	0	0	0	0				
C14ORF104	-1,2292	0,9235	6,6377	0,5428	1,0342	24,1232	-2,9484	0,8415	0,1264	3,4255	1,2111	0,0073	0	0	0				
C14ORF105	0,5905	1,0353	21,7605	-2,0502	0,8915	2,5859	-1,0928	0,943	6,1022	2,4158	1,1316	0,2958	0	0	0				
C14ORF106	-1,3246	0,9323	6,6377	0,7491	1,0386	20,4598	-2,3394	0,8937	0,4599	2,7258	1,1335	0,1052	0	0	0				
C14ORF108	-0,3921	0,9781	24,09	1,272	1,0707	9,5943	-0,149	0,9923	21,5379	-0,6768	0,9671	18,2234	0	0	0				
C14ORF109	-2,6563	0,8183	0,1677	2,7747	1,2215	0,1301	-0,3047	0,979	21,5379	0,0817	1,0054	26,223	0	0	0				
C14ORF115	2,1056	1,1219	2,0642	-0,3794	0,9802	33,3649	-3,343	0,8476	0,0249	1,6774	1,0838	2,6217	0	0	0				
C14ORF118	-3,7133	0,8527	0	0,1734	1,0072	35,6069	0,9975	1,0405	14,6237	2,0906	1,0828	0,6935	0	0	0				
C14ORF122	-1,3909	0,922	4,8218	2,6298	1,1569	0,3348	-2,0771	0,8956	1,3817	0,8093	1,0423	12,1755	0	0	0				
C14ORF130	-0,974	0,9468	11,2803	2,0038	1,113	1,4462	0,9296	1,0487	14,6237	-1,8727	0,9123	1,4298	0	0	0				
C14ORF131	3,5797	1,1568	0,0315	0,0579	1,0022	38,7936	-3,3199	0,8837	0,0249	-0,0001	0,9999	26,223	0	0	0				
C14ORF132	-2,2547	0,8181	0,6697	-4,2971	0,6978	0	2,7039	1,2449	0,1264	3,2841	1,2895	0,0073	0	0	0				
C14ORF133	-3,3778	0,8402	0	-0,6442	0,9682	24,1232	-0,2016	0,9904	21,5379	3,7695	1,1847	0	0	0	0				
C14ORF135	-3,0929	0,8472	0,0315	-4,3932	0,8006	0	-0,094	0,9953	21,5379	7,1441	1,3745	0	0	0	0				
C14ORF138	-1,4015	0,9278	4,8218	-0,573	0,971	27,6634	-2,5798	0,8824	0,4599	4,3071	1,2179	0	0	0	0				
C14ORF139	0,0351	1,0019	33,3668	-1,0302	0,9465	16,7477	5,0426	1,2821	0	-3,8381	0,8318	0	0	0	0				
C14ORF140	2,5983	1,1272	0,6697	-0,333	0,9852	33,3649	-4,3814	0,8343	0	2,1549	1,0911	0,6935	0	0	0				
C14ORF143	0,1131	1,0046	32,5411	-0,3708	0,9855	33,3649	0,2315	1,0087	21,5379	0,0186	1,0006	26,223	0	0	0				
C14ORF147	-0,3526	0,9793	26,2979	3,2786	1,2004	0,0187	-1,0554	0,9447	6,1022	-1,6473	0,9185	2,6217	0	0	0				
C14ORF156	-0,1518	0,9923	29,8206	-0,2875	0,9861	33,3649	-0,2055	0,9905	21,5379	0,5938	1,0266	15,204	0	0	0				
C14ORF159	2,0263	1,1002	2,0642	-0,1438	0,9934	37,9611	-2,8975	0,8834	0,1264	1,1141	1,0472	6,6307	0	0	0				
C14ORF161	3,7556	1,3251	0	1,9753	1,1543	1,4462	-0,0721	0,9949	21,5379	-5,1329	0,7175	0	0	0	0				
C14ORF162	0,6285	1,0204	21,7605	-2,5611	0,9246	0,7301	-2,4695	0,9304	0,4599	4,2292	1,1235	0	0	0	0				
C14ORF166	-2,5368	0,8978	0,1677	-0,3791	0,9845	33,3649	-0,7443	0,9713	9,6877	3,3139	1,1303	0,0073	0	0	0				
C14ORF169	0,4724	1,0253	26,2979	-0,4113	0,9793	30,6701	-0,9682	0,9542	9,6877	0,8911	1,0422	9,2746	0	0	0				
C14ORF172	3,2952	1,1294	0,066	-0,4117	0,9853	30,6701	-3,2223	0,8969	0,0249	0,5777	1,0191	15,204	0	0	0				
C14ORF173	3,0946	1,1569	0,1677	-1,6705	0,9268	4,2891	3,088	1,1419	0,0249	-4,1715	0,8433	0	0	0	0				
C14ORF2	0,5611	1,0304	24,09	0,1865	1,0096	35,6069	-3,0239	0,8641	0,1264	2,216	1,1087	0,6935	0	0	0				
C14ORF32	-1,5538	0,9396	3,2175	-2,2995	0,916	1,4462	-0,5689	0,9793	21,5379	4,0887	1,1508	0	0	0	0				
C14ORF43	1,5846	1,0593	4,8218	-0,7936	0,9726	20,4598	1,7492	1,0597	3,2152	-2,3449	0,9282	0,2958	0	0	0				
C14ORF45	1,2413	1,0873	8,9075	-2,6323	0,8447	0,3348	-0,6322	0,9617	21,5379	1,9194	1,1198	1,4298	0	0	0				
C14ORF65	1,6187	1,0885	4,8218	-1,917	0,9084	2,5859	-0,4262	0,9797	21,5379	0,7433	1,0348	12,1755	0	0	0				
C14ORF79	0,9761	1,0533	13,9168	-1,8818	0,9088	4,2891	-3,7492	0,836	0	4,5104	1,2276	0	0	0	0				
C14ORF93	1,0421	1,0422	13,9168	-1,2551	0,9534	9,5943	-5,0428	0,838	0	5,0812	1,1862	0	0	0	0				
C14ORF94	-1,5871	0,9029	3,2175	2,7867	1,1856	0,1301	-2,3348	0,8723	0,4599	1,0834	1,063	6,6307	0	0	0				
C15ORF15	-0,7646	0,9557	16,6018	1,057	1,0616	13,0283	-0,1716	0,9907	21,5379	-0,1329	0,9931	25,8605	0	0	0				
C15ORF2	1,8914	1,0731	3,2175	-0,2067	0,9926	37,3139	-0,1363	0,9953	21,5379	-1,3321	0,9572	6,6307	0	0	0				
C15ORF24	0,6966	1,0353	19,2003	3,0473	1,1544	0,0467	3,0924	1,1491	0,0249	-6,6737	0,7594	0	0	0	0				
C15ORF29	-1,7505	0,9115	2,0642	1,1064	1,0577	13,0283	1,2889	1,0643	9,6877	-0,7181	0,9671	18,2234	0	0	0				
C15ORF39	1,7901	1,1089	3,2175	1,3919	1,08	6,6672	-0,0905	0,9952	21,5379	-2,7757	0,8697	0,1052	0	0	0				
C15ORF44	-0,476	0,9777	21,7605	1,8252	1,0856	2,5859	-2,5265	0,8976	0,4599	1,1554	1,0489	6,6307	0	0	0				
C15ORF5	0,8405	1,0546	16,6018	-2,3073	0,8703	1,4462	2,9031	1,1806	0,1264	-1,3931	0,9257	6,6307	0	0	0				
C16ORF24	1,4395	1,0837	6,6377	1,3908	1,0771	6,6672	0,614	1,0318	17,6043	-3,1596	0,8581	0,0073	0	0	0				
C16ORF3	2,0291	1,0363	2,0642	-1,1007	0,9815	13,0283	-2,3412	0,9632	0,4599	1,4672	1,0229	4,3519	0	0	0				
C16ORF30	-5,2783	0,7093	0	-1,3081	0,9192	9,5943	10,1938	1,741	0	-3,0171	0,8384	0,0325	0	0	0				
C16ORF33	-4,5838	0,7754	0	2,4926	1,1444	0,3348	-1,106	0,9441	6,1022	2,727	1,1444	0,1052	0	0	0				
C16ORF35	0,2197	1,0093	31,3022	-2,306	0,9116	1,4462	-0,6994	0,9734	13,23	2,5994	1,0999	0,1052	0	0	0				
C16ORF42	-0,371	0,9862	24,09	0,4108	1,0147	27,6634	-2,0968	0,9316	0,4599	1,9568	1,0655	1,4298	0	0	0				
C16ORF44	1,193	1,0599	11,2803	2,4022	1,1179	0,3348	-1,5626	0,9328	3,2152	-1,7409	0,9284	2,6217	0	0	0				
C16ORF45	-1,5307	0,9003	4,8218	-3,042	0,8205	0,1301	4,8695	1,3451	0	-0,4377	0,9739	22,8783	0	0	0				
C16ORF5	-2,643	0,8774	0,1677	-1,5117	0,9305	6,6672	1,3816	1,0648	9,6877	2,3715	1,1084	0,2958	0	0	0				
C16ORF53	-0,1722	0,9924	29,8206	-0,4792	0,9799	30,6701	-2,085	0,9198	1,3817	2,6012	1,1048	0,1052	0	0	0				
C16ORF57	-2,5001	0,9064	0,3398	1,5481	1,0602	4,2891	3,1724	1,1197	0,0249	-2,2566	0,9251	0,6935	0	0	0				
C16ORF58	3,0165	1,127	0,1677	1,3839	1,0544	6,6672	-1,8789	0,9337	1,3817	-2,0948	0,9293	0,6935	0	0	0				
C16ORF59	-5,0825	0,7716	0	0,5227	1,0267	24,1232	-3,0506	0,8648	0,1264	7,1755	1,364	0	0	0	0				
C16ORF61	-4,0077	0,8266	0	3,7978	1,1887	0	-0,5695	0,975	21,5379	0,5698	1,0245	15,204	0	0	0				
C16ORF67	1,6269	1,0697	4,8218	1,4166	1,0578	6,6672	-2,2812	0,9175	0,4599	-0,5439	0,9803	21,0108	0	0	0				
C16ORF68	-4,4797	0,8034	0	0,1394	1,0067	35,6069	0,2442	1,0112	21,5379	3,517	1,1642	0,0073	0	0	0				
C16ORF7	3,7871	1,1626	0	-0,7412	0,9716	24,1232	-0,2546	0,9906	21,5379	-2,3475	0,9204	0,2958	0	0	0				
C16ORF80	-2,5837	0,8744	0,1677	0,1554	1,0078	35,6069	-0,8043	0,9622	9,6877	2,9048	1,1409	0,0325	0	0	0				
C17ORF39	-1,2012	0,9485	8,9075	1,9871	1,0868	1,4462	-0,2945	0,9882	21,5379	-0,4779	0,9817	21,0108	0	0	0				
C17ORF42	-5,4436	0,7339	0	4,1194	1,2554	0	-0,5361	0,9715	21,5379	1,4157	1,0757	4,3519	0	0	0				
C17ORF48	-3,6792	0,8297	0	0,7947	1,04	16,7477	1,2768	1,0619	9,6877	1,2183	1,0565	6,6307	0	0	0				
C17ORF53	-3,0485	0,873	0,0315	2,188	1,0983	0,7301	-2,4252	0,9057	0,4599	2,9885	1,1237	0,0325	0	0	0				
C17ORF59	0,452	1,0215	26,2979	1,8696	1,0876	2,5859	0,713	1,0311	16,0569	-2,8147	0,8912	0,1052	0	0	0				
C17ORF60	1,8778	1,1463	3,2175	5,4384	1,4418	0	5,8764	1,455	0	-14,9842	0,469	0	0	0	0				
C17ORF62	-0,7306	0,9682	16,6018	2,39	1,1055	0,3348	2,1106	1,0883	1,3817	-3,6084	0,8717	0	0	0	0				
C17ORF63	-1,5065	0,9099	4,8218	-3,2521	0,8247	0,0467	0,0772	1,0044	21,5379	4,2823	1,2585	0	0	0	0				
C17ORF68	0,2404	1,0102	31,3022	1,3043	1,0544	6,6672	-1,4324	0,946	3,2152	-0,0336	0,9987	26,223	0	0	0				
C17ORF70	0,1714	1,0095	32,0584	-1,8907	0,9047	2,5859	1,4162	1,0743	9,6877	0,2195	1,0107	26,223	0	0	0				
C17ORF71	-4,6484	0,7671	0	2,0141	1,119	1,4462	-0,2125	0,9886	21,5379	2,3438	1,127	0,2958	0	0	0				
C17ORF75	-5,4535	0,7249	0	2,7131	1,1706	0,1301	-3,3454	0,8315	0,0249	5,5095	1,3291	0	0	0	0				
C17ORF80	-3,9323	0,8359	0	0,2186	1,0097	33,3649	-0,3395	0,9856	21,5379	3,56	1,1533	0	0	0	0				
C17ORF81	-2,1509	0,7843	0,6697	1,5625	1,1843	4,2891	-1,3231	0,872	3,2152	1,7192	1,1858	2,6217	0	0	0				
C17ORF85	-4,2694	0,8211	0	-2,0267	0,9127	2,5859	1,6427	1,0732	6,1022	4,014	1,1768	0	0	0	0				
C17ORF88	1,9095	1,0769	3,2175	-0,7778	0,9714	20,4598	-1,1771	0,959	6,1022	0,1737	1,0059	26,223	0	0	0				
C18ORF1	3,1183	1,1771	0,1677	0,8192	1,0423	16,7477	3,0876	1,1588	0,0249	-6,7604	0,7439	0	0	0	0				
C18ORF10	-3,5597	0,8023	0	-0,4175	0,9751	30,6701	-1,7877	0,9028	1,3817	5,3529	1,3286	0	0	0	0				
C18ORF22	2,4225	1,1198	0,6697	1,1891	1,0549	9,5943	-2,3375	0,905	0,4599	-0,97	0,9608	12,1755	0	0	0				
C18ORF24	-3,0337	0,8736	0,0315	4,4239	1,2041	0	-2,8715	0,8897	0,1264	1,4043	1,0568	4,3519	0	0	0				
C18ORF25	-1,6178	0,9202	3,2175	6,4116	1,3493	0	1,8616	1,0911	3,2152	-6,2418	0,765	0	0	0	0				
C18ORF8	0,0584	1,0033	33,3302	2,4657	1,1453	0,3348	-1,293	0,9339	6,1022	-1,0563	0,9478	9,2746	0	0	0				
C19ORF10	-1,4687	0,9276	4,8218	3,8255	1,2019	0	2,3081	1,1131	0,4599	-4,4688	0,8225	0	0	0	0				
C19ORF15	1,2272	1,04	8,9075	0,3872	1,0119	27,6634	-2,4301	0,9319	0,4599	0,8818	1,025	9,2746	0	0	0				
C19ORF2	-1,422	0,8901	4,8218	1,9409	1,1636	1,4462	-2,5795	0,8256	0,4599	1,9352	1,1484	1,4298	0	0	0				
C19ORF21	0,829	1,0638	16,6018	-0,8553	0,9407	20,4598	1,5398	1,1103	6,1022	-1,4186	0,9115	4,3519	0	0	0				
C19ORF22	1,6557	1,0781	4,8218	3,0852	1,142	0,0467	1,7104	1,0734	6,1022	-6,1777	0,7909	0	0	0	0				
C19ORF24	3,2753	1,1589	0,066	3,3892	1,157	0,0187	-0,867	0,9645	9,6877	-5,2465	0,8167	0	0	0	0				
C19ORF28	3,6354	1,2292	0,0315	2,5623	1,1507	0,3348	1,3058	1,0711	9,6877	-7,1619	0,7121	0	0	0	0				
C19ORF29	2,3728	1,097	1,216	-0,6884	0,9744	24,1232	-2,544	0,9134	0,4599	0,9855	1,0345	9,2746	0	0	0				
C19ORF36	2,4852	1,0459	0,6697	1,2722	1,0224	9,5943	-2,586	0,9583	0,1264	-0,8707	0,9861	15,204	0	0	0				
C19ORF40	-3,0077	0,8588	0,0315	1,2677	1,0639	9,5943	-2,1651	0,9043	0,4599	3,5681	1,1704	0	0	0	0				
C19ORF42	0,1386	1,008	32,5411	-0,6587	0,9644	24,1232	-2,7454	0,867	0,1264	3,1286	1,1683	0,0325	0	0	0				
C19ORF53	0,8069	1,0455	16,6018	-0,7948	0,9588	20,4598	-2,8027	0,8695	0,1264	2,7069	1,1385	0,1052	0	0	0				
C19ORF56	-0,1461	0,9913	31,3022	0,3065	1,0175	30,6701	-2,2652	0,885	0,4599	2,0154	1,1101	0,6935	0	0	0				
C19ORF57	2,0882	1,118	2,0642	-0,319	0,9837	33,3649	-5,5631	0,7695	0	3,6586	1,1843	0	0	0	0				
C19ORF58	0,0148	1,0008	33,3668	1,156	1,0632	9,5943	-1,6402	0,9204	3,2152	0,4969	1,0244	18,2234	0	0	0				
C19ORF6	3,2723	1,1408	0,066	1,0361	1,0412	13,0283	-1,1716	0,9573	6,1022	-2,6783	0,9094	0,1052	0	0	0				
C19ORF60	0,4304	1,0238	26,2979	2,8462	1,1589	0,1301	-1,191	0,9423	6,1022	-1,8247	0,9165	2,6217	0	0	0				
C19ORF61	-0,8227	0,9656	13,9168	-2,0111	0,9218	2,5859	-0,2521	0,9902	21,5379	2,8259	1,1097	0,1052	0	0	0				
C19ORF62	-1,7304	0,9076	2,0642	1,8311	1,1029	2,5859	-3,6994	0,8299	0,0249	3,3739	1,1778	0,0073	0	0	0				
C19ORF7	1,1262	1,0527	11,2803	-2,7893	0,8864	0,3348	-1,0005	0,9592	6,1022	2,5232	1,1052	0,2958	0	0	0				
C1D	-2,5634	0,8612	0,1677	1,7973	1,1058	2,5859	-1,1279	0,9413	6,1022	1,6727	1,0896	2,6217	0	0	0				
C1GALT1	-0,2073	0,9871	29,8206	2,6432	1,1695	0,3348	0,5717	1,0331	17,6043	-2,7946	0,8594	0,1052	7	p21.3	"Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 (EC 2.4.1.122) (Core 1 beta1,3-galactosyltransferase 1) (Core1 UDP- galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase 1) (Core 1 beta3-Gal-T) (C1GalT1) (Beta 1,3-galact [Source:Uniprot/SWISSPROT;Acc:Q9NS00]"				
C1GALT1C1	-0,1532	0,9904	29,8206	5,4207	1,365	0	-0,873	0,9515	9,6877	-3,886	0,8121	0	X	q24	"C1GALT1-specific chaperone 1 (Core 1 beta3-galactosyltransferase- specific molecular chaperone) (Beta1,3-galactosyltransferase 2) (C1GalT2) (C1Gal-T2) (C38H2-like protein 1) (C38H2-L1). [Source:Uniprot/SWISSPROT;Acc:Q96EU7]"				
C1ORF103	-1,9549	0,9066	1,216	1,0927	1,0539	13,0283	-0,8807	0,9603	9,6877	1,5532	1,0707	2,6217	0	0	0				
C1ORF106	2,6644	1,1965	0,3398	-1,5884	0,9021	6,6672	-0,316	0,9805	21,5379	-0,5595	0,9672	21,0108	0	0	0				
C1ORF107	1,0419	1,0581	13,9168	-0,0146	0,9992	38,7936	-3,3691	0,8482	0,0249	2,2995	1,1148	0,2958	0	0	0				
C1ORF108	-2,8364	0,827	0,066	-1,1707	0,9271	13,0283	-1,1605	0,9309	6,1022	4,781	1,3166	0	0	0	0				
C1ORF109	0,3336	1,019	28,1676	2,0663	1,1172	1,4462	-3,5623	0,8349	0,0249	1,1855	1,0602	6,6307	0	0	0				
C1ORF112	-4,5718	0,7691	0	1,9722	1,1171	1,4462	-2,6588	0,8677	0,1264	4,7654	1,2701	0	0	0	0				
C1ORF113	0,0379	1,0019	33,3668	-0,6686	0,9677	24,1232	-0,0545	0,9974	21,5379	0,6316	1,0288	15,204	0	0	0				
C1ORF114	-1,5265	0,8618	4,8218	-5,4537	0,6121	0	-4,0308	0,7032	0	11,5332	2,3394	0	0	0	0				
C1ORF115	3,4247	1,261	0,0315	-1,2017	0,9241	13,0283	-2,9731	0,8315	0,1264	0,9633	1,0597	9,2746	0	0	0				
